loan_id,pool_name,base_interest_rate,loan_duration_days,compounding_periods,cumulative_return,normalized_cumulative_return
0xf1cd6920e94f97e1fdcbf145523472249145e29b,Maven 11 - USDC 01,22.0,89.0,3.0,0.23652770370370346,1.2365277037037035
0xc585c583796c6e04ed2e205cbff1478f5bbdfe6b,Maple Direct USDC1,16.0,7.0,7.0,0.17139907312676894,1.171399073126769
0x227a1a385ac41ef63eabbc8dc31bcd70d62d9cfa,Maple Direct USDC1,15.75,117.0,4.0,0.16704893398452736,1.1670489339845274
3mVaW3tQV7NSYipz4qMyHva2DFG5Y1Wgd72mkRR9ZYmD,credix-marketplace,15.25,1079.0,36.0,0.16436736574385602,1.164367365743856
6p6Hmbja9gy6h1EUvjYcWYCZsTjRGkdmVvJgGwVTWqZY,credix-marketplace,15.25,1079.0,36.0,0.16436736574385602,1.164367365743856
0x2603e1294aa3c1c7fc0a60e360d23936b6398b99,AQRU Maple Pool USDC1,16.2,21.0,1.0,0.16199999999999992,1.162
0x67df471eacd82c3dbc95604618ff2a1f6b14b8a1,Goldfinch Senior Pool,15.0,1196.0,40.0,0.1615083371898618,1.1615083371898618
0xe32c22e4d95cae1fb805c60c9e0026ed57971bcf,Goldfinch Senior Pool,15.0,1096.0,37.0,0.16148198759162158,1.1614819875916216
AueHf4RxdVCon9qfeK88frza3vkWWutBGq8FHoSK3sgC,credix-marketplace,15.0,1089.0,37.0,0.16148198759162158,1.1614819875916216
BJSVoJa8oroKmay8iZAREktBjhBekEcqs7L6y6Xa7eeo,credix-marketplace,15.0,1079.0,36.0,0.16147223133346778,1.1614722313334678
7wTEo6A78a3izB4rUMxjQYrh3Rub6QPkRYqQ9aKfxZ1M,credix-marketplace,15.0,908.0,31.0,0.16141404053050712,1.1614140405305071
DQtXYWVs4ttAq8uguMpTnpcEa2h1qaV48XdxjunciTzm,credix-marketplace,15.0,779.0,26.0,0.16133355910067704,1.161333559100677
CDa4HeY2GPJiSexhJbs1NENFBXrq5fXhcFjnURGxQmRH,credix-marketplace,15.0,509.0,17.0,0.16107012620628836,1.1610701262062884
0x1e73b5c1a3570b362d46ae9bf429b25c05e514a7,Goldfinch Senior Pool,15.0,365.0,13.0,0.16083690534530581,1.1608369053453058
0xd798d527f770ad920bb50680dbc202bb0a1dafd6,Goldfinch Senior Pool,15.0,365.0,13.0,0.16083690534530581,1.1608369053453058
0x2107ade0e536b8b0b85cca5e0c0c3f66e58c053c,Goldfinch Senior Pool,15.0,365.0,13.0,0.16083690534530581,1.1608369053453058
0x1cc90f7bb292dab6fa4398f3763681cfe497db97,Goldfinch Senior Pool,15.0,365.0,13.0,0.16083690534530581,1.1608369053453058
93wWYXWF52jA8nTqse1NxqXXJE4ASLzb3wmmLdHBiqbj,credix-marketplace,15.0,359.0,12.0,0.1607545177229981,1.160754517722998
6C3uNRc8doSXS5DKSh7gj7ThmvUuChczcGJuWm7i6pmD,credix-marketplace,15.0,359.0,12.0,0.1607545177229981,1.160754517722998
BLwUyuQFArLdg9P46fEo4gbSho1B3AkKvtZacsdQ4yJA,credix-marketplace,15.0,359.0,12.0,0.1607545177229981,1.160754517722998
